ene,k
88.6633,49596145.
88.6919,49896605.
88.7205,50209099.
88.7491,50530557.
88.7777,50845216.
88.8063,51140614.
88.8349,51438190.
88.8635,51739789.
88.8921,52060623.
88.9207,52404550.
88.9492,52735280.
88.9778,53045292.
89.0064,53346009.
89.035,53656507.
89.0636,53983505.
89.0922,54321783.
89.1208,54665595.
89.1494,54996098.
89.178,55319984.
89.2066,55648630.
89.2352,55971918.
89.2638,56303896.
89.2924,56651665.
89.3209,57005192.
89.3495,57344932.
89.3781,57672967.
89.4067,57999354.
89.4353,58338213.
89.4639,58699751.
89.4925,59076199.
89.5211,59433355.
89.5497,59770045.
89.5783,60106387.
89.6069,60453724.
89.6355,60816029.
89.664,61190366.
89.6926,61564186.
89.7212,61922332.
89.7498,62278693.
89.7784,62639601.
89.807,62997500.
89.8356,63366710.
89.8642,63753417.
89.8928,64136135.
89.9214,64505346.
89.95,64864880.
89.9786,65229331.
90.0071,65606391.
90.0357,66010213.
90.0643,66419280.
90.0929,66804436.
90.1215,67172988.
90.1501,67548259.
90.1787,67931872.
90.2073,68329652.
90.2359,68741753.
90.2645,69147568.
90.2931,69538923.
90.3217,69932496.
90.3503,70325446.
90.3788,70723856.
90.4074,71134267.
90.436,71557945.
90.4646,71976075.
90.4932,72375161.
90.5218,72772770.
90.5504,73176650.
90.579,73597514.
90.6076,74043038.
90.6362,74482861.
90.6648,74897089.
90.6934,75300118.
90.7219,75714020.
90.7505,76140695.
90.7791,76581485.
90.8077,77032162.
90.8363,77469957.
90.8649,77899458.
90.8935,78331114.
90.9221,78762529.
90.9507,79203118.
90.9793,79654521.
91.0079,80118194.
91.0365,80572367.
91.065,81008624.
91.0936,81447021.
91.1222,81889983.
91.1508,82356635.
91.1794,82844512.
91.208,83316610.
91.2366,83765032.
91.2652,84209229.
91.2938,84663717.
91.3224,85137397.
91.351,85624049.
91.3796,86111502.
91.4081,86586257.
91.4367,87058093.
91.4653,87529622.
91.4939,88004404.
91.5225,88487910.
91.5511,88987229.
91.5797,89489075.
91.6083,89978482.
91.6369,90452839.
91.6655,90932150.
91.6941,91422127.
91.7227,91941046.
91.7513,92470951.
91.7798,92975526.
91.8084,93464490.
91.837,93954009.
91.8656,94455651.
91.8942,94976730.
91.9228,95507662.
91.9514,96036201.
91.98,96552351.
92.0086,97069077.
92.0372,97585720.
92.0658,98101499.
92.0944,98632578.
92.1229,99179713.
92.1515,99724851.
92.1801,100249389.
92.2087,100770343.
92.2373,101293251.
92.2659,101836950.
92.2945,102409658.
92.3231,102977964.
92.3517,103521612.
92.3803,104053643.
92.4089,104592765.
92.4375,105146917.
92.466,105716106.
92.4946,106295472.
92.5232,106865409.
92.5518,107425777.
92.5804,107987260.
92.609,108548817.
92.6376,109113939.
92.6662,109695804.
92.6948,110294683.
92.7234,110879986.
92.752,111450889.
92.7806,112019261.
92.8091,112594020.
92.8377,113193535.
92.8663,113816642.
92.8949,114427836.
92.9235,115014447.
92.9521,115593813.
92.9807,116186135.
93.0093,116792018.
93.0379,117411810.
93.0665,118040889.
93.0951,118657293.
93.1237,119265133.
93.1523,119875685.
93.1808,120485940.
93.2094,121105643.
93.238,121744700.
93.2666,122390914.
93.2952,123023343.
93.3238,123641015.
93.3524,124261450.
93.381,124893473.
93.4096,125553993.
93.4382,126225835.
93.4668,126881143.
93.4954,127514259.
93.5239,128144886.
93.5525,128791813.
93.5811,129453916.
93.6097,130129298.
93.6383,130808460.
93.6669,131472964.
93.6955,132135637.
93.7241,132798835.
93.7527,133462498.
93.7813,134141848.
93.8099,134837170.
93.8385,135535097.
93.867,136216119.
93.8956,136885902.
93.9242,137561123.
93.9528,138253598.
93.9814,138974130.
94.01,139698677.
94.0386,140400219.
94.0672,141085721.
94.0958,141773588.
94.1244,142479038.
94.153,143201854.
94.1816,143936418.
94.2102,144665192.
94.2387,145383923.
94.2673,146105237.
94.2959,146821761.
94.3245,147545916.
94.3531,148286261.
94.3817,149040570.
94.4103,149790607.
94.4389,150524028.
94.4675,151249765.
94.4961,151982429.
94.5247,152740147.
94.5533,153524200.
94.5818,154301275.
94.6104,155052587.
94.639,155795742.
94.6676,156548301.
94.6962,157314654.
94.7248,158103277.
94.7534,158897587.
94.782,159679960.
94.8106,160458370.
94.8392,161236424.
94.8678,162014129.
94.8964,162797891.
94.9249,163603951.
94.9535,164420057.
94.9821,165225080.
95.0107,166013346.
95.0393,166801236.
95.0679,167598754.
